"","","2016","2016","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.098","0.084","0.107","0.093","0.109","0.094","0.109","0.094","0.114","0.098","0.119","0.102","0.124","0.107","0.13","0.112","0.135","0.116","0.14","0.121","0.144","0.126","0.149","0.131","0.154","0.135","0.159","0.14","0.166","0.145","0.172","0.15","0.176","0.153"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.009","0.008","0.012","0.012","0.012","0.011","0.011","0.011","0.013","0.012","0.014","0.013","0.016","0.015","0.017","0.016","0.018","0.017","0.02","0.019","0.021","0.02","0.023","0.021","0.024","0.022","0.025","0.023","0.027","0.025","0.029","0.026","0.031","0.028"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.003","0.003","0.004","0.003","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.004","0.005","0.005","0.005","0.005","0.006","0.005","0.006","0.006","0.006","0.006","0.007","0.006","0.007","0.006","0.007","0.006","0.007","0.007","0.007","0.007"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.001","0.001","0.001","0.001","0.002","0.002","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.003"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.005","0.006","0.006","0.006","0.006","0.007","0.006","0.007","0.006","0.008","0.006","0.008","0.007","0.008","0.007","0.008","0.008","0.008","0.009"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.007","0.007","0.008","0.007","0.009","0.008","0.008","0.007","0.008","0.007","0.008","0.008","0.008","0.008","0.009","0.008","0.009","0.009","0.009","0.009","0.01","0.009","0.011","0.01","0.012","0.01","0.012","0.01","0.012","0.011","0.012","0.011","0.012","0.012"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.007","0.007","0.008","0.007","0.009","0.009","0.007","0.007","0.007","0.007","0.008","0.007","0.008","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.01","0.009","0.011","0.01","0.012","0.01","0.012","0.01","0.012","0.011","0.012","0.011","0.012","0.013"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.008","0.007","0.008","0.008","0.009","0.009","0.008","0.007","0.008","0.007","0.008","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.01","0.009","0.01","0.009","0.011","0.01","0.012","0.01","0.012","0.01","0.012","0.011","0.012","0.012","0.012","0.013"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.009","0.008","0.009","0.009","0.011","0.011","0.008","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.01","0.01","0.01","0.01","0.011","0.01","0.012","0.011","0.012","0.011","0.013","0.011","0.013","0.011","0.013","0.012","0.013","0.013","0.014","0.014"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.011","0.01","0.011","0.011","0.014","0.013","0.01","0.01","0.01","0.01","0.011","0.011","0.011","0.011","0.012","0.012","0.013","0.012","0.013","0.012","0.014","0.013","0.015","0.013","0.015","0.014","0.016","0.014","0.016","0.015","0.016","0.015","0.017","0.015"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.013","0.012","0.014","0.013","0.016","0.015","0.013","0.013","0.013","0.013","0.013","0.013","0.014","0.014","0.015","0.014","0.015","0.015","0.016","0.015","0.017","0.016","0.017","0.016","0.018","0.017","0.019","0.017","0.019","0.017","0.02","0.017","0.02","0.017"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.017","0.017","0.018","0.017","0.02","0.019","0.017","0.017","0.017","0.018","0.018","0.018","0.018","0.018","0.019","0.019","0.02","0.019","0.021","0.02","0.022","0.021","0.022","0.021","0.023","0.022","0.024","0.023","0.025","0.023","0.026","0.023","0.027","0.023"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.024","0.023","0.025","0.024","0.027","0.026","0.024","0.024","0.024","0.024","0.025","0.025","0.026","0.025","0.026","0.026","0.027","0.026","0.028","0.027","0.029","0.028","0.03","0.029","0.031","0.03","0.032","0.03","0.033","0.031","0.034","0.031","0.036","0.031"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.035","0.035","0.037","0.036","0.04","0.039","0.036","0.036","0.037","0.036","0.037","0.037","0.038","0.038","0.04","0.039","0.041","0.04","0.042","0.04","0.043","0.041","0.045","0.042","0.047","0.043","0.048","0.044","0.05","0.046","0.052","0.047","0.054","0.049"
