"","","2016","2016","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.045","0.036","0.047","0.038","0.05","0.04","0.054","0.043","0.057","0.046","0.063","0.051","0.066","0.054","0.07","0.056","0.072","0.058","0.073","0.059","0.074","0.059","0.073","0.059","0.073","0.059","0.072","0.058","0.072","0.058","0.072","0.057","0.072","0.057"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.004","0.004","0.005","0.005","0.005","0.005","0.006","0.006","0.007","0.007","0.008","0.008","0.009","0.009","0.009","0.009","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.001","0.002","0.001"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.003"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.004","0.005","0.004","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.007","0.007","0.008","0.007","0.01","0.008","0.011","0.009","0.013","0.01","0.014","0.01","0.016","0.011","0.017","0.011","0.018","0.012","0.019","0.012","0.019","0.012","0.019"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.006","0.006","0.007","0.007","0.007","0.007","0.008","0.008","0.009","0.008","0.009","0.01","0.011","0.013","0.012","0.016","0.014","0.019","0.016","0.021","0.017","0.024","0.019","0.026","0.019","0.027","0.02","0.027","0.02","0.027","0.021","0.027","0.021","0.027"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.009","0.009","0.01","0.009","0.011","0.01","0.013","0.011","0.014","0.012","0.016","0.015","0.018","0.02","0.022","0.024","0.025","0.027","0.028","0.031","0.031","0.034","0.034","0.037","0.036","0.039","0.037","0.039","0.037","0.038","0.036","0.036","0.033","0.033"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.012","0.01","0.013","0.011","0.013","0.011","0.016","0.012","0.018","0.013","0.02","0.016","0.025","0.022","0.03","0.026","0.034","0.03","0.038","0.033","0.04","0.035","0.042","0.035","0.042","0.036","0.042","0.035","0.041","0.034","0.04","0.032","0.039","0.03"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.015","0.011","0.016","0.011","0.017","0.012","0.02","0.013","0.022","0.014","0.024","0.016","0.027","0.02","0.032","0.023","0.035","0.026","0.039","0.028","0.042","0.03","0.044","0.031","0.045","0.032","0.045","0.032","0.044","0.031","0.043","0.03","0.042","0.029"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.019","0.013","0.019","0.013","0.02","0.013","0.022","0.013","0.024","0.014","0.025","0.016","0.029","0.019","0.033","0.022","0.037","0.024","0.041","0.027","0.044","0.029","0.047","0.031","0.048","0.032","0.049","0.032","0.049","0.032","0.05","0.032","0.049","0.03"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.02","0.014","0.021","0.014","0.021","0.014","0.023","0.015","0.024","0.015","0.026","0.016","0.028","0.019","0.032","0.022","0.036","0.024","0.04","0.026","0.042","0.027","0.045","0.029","0.047","0.03","0.048","0.03","0.048","0.029","0.047","0.029","0.046","0.027"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.026","0.019","0.026","0.019","0.026","0.019","0.028","0.02","0.029","0.02","0.031","0.021","0.033","0.024","0.037","0.026","0.04","0.027","0.043","0.028","0.045","0.03","0.047","0.031","0.049","0.032","0.05","0.032","0.05","0.032","0.05","0.031","0.049","0.03"
