country,vsl_gni_cap,vsl,country_code,gni_cap,vsl_160,vsl_100,vsl_extrapolated
Afghanistan,610,105000,AFG,1940,310400,194000,57652
Albania,4280,736000,ALB,11170,1787200,1117000,796507
Algeria,4870,838000,DZA,14140,2262400,1414000,1134447
Andorra,43270,7444000,AND,NA,NA,NA,NA
Angola,4180,719000,AGO,6250,1000000,625000,333373
Antigua and Barbuda,13270,2283000,ATG,NA,NA,NA,NA
Argentina,12460,2144000,ARG,19950,3192000,1995000,1901185
Armenia,3880,668000,ARM,9090,1454400,909000,584731
Australia,60070,10335000,AUS,NA,NA,NA,NA
Austria,47410,8157000,AUT,NA,NA,NA,NA
Azerbaijan,6560,1129000,AZE,17100,2736000,1710000,1508704
"Bahamas, The",20740,3568000,BHS,NA,NA,NA,NA
Bahrain,19840,3413000,BHR,NA,NA,NA,NA
Bangladesh,1190,205000,BGD,3550,568000,355000,142709
Barbados,14510,2496000,BRB,NA,NA,NA,NA
Belarus,6460,1111000,BLR,17550,2808000,1755000,1568649
Belgium,44250,7613000,BEL,NA,NA,NA,NA
Belize,4490,772000,BLZ,8120,1299200,812000,493678
Benin,840,145000,BEN,2110,337600,211000,65393
Bermuda,106140,18261000,BMU,NA,NA,NA,NA
Bhutan,2380,409000,BTN,7520,1203200,752000,439984
Bolivia,3000,516000,BOL,6720,1075200,672000,371675
Bosnia and Herzegovina,4670,803000,BIH,11600,1856000,1160000,842941
Botswana,6460,1111000,BWA,16090,2574400,1609000,1377032
Brazil,9850,1695000,BRA,15280,2444800,1528000,1274369
Brunei Darussalam,38010,6539000,BRN,NA,NA,NA,NA
Bulgaria,7480,1287000,BGR,17750,2840000,1775000,1595539
Burkina Faso,640,110000,BFA,1630,260800,163000,44401
Burundi,260,45000,BDI,800,128000,80000,16000
Cabo Verde,3280,564000,CPV,6070,971200,607000,319075
Cambodia,1070,184000,KHM,3290,526400,329000,127322
Cameroon,1320,227000,CMR,3450,552000,345000,136722
Canada,47540,8179000,CAN,NA,NA,NA,NA
Central African Republic,330,57000,CAF,670,107200,67000,13400
Chad,880,151000,TCD,2110,337600,211000,65393
Chile,14100,2426000,CHL,NA,NA,NA,NA
China,7930,1364000,CHN,14400,2304000,1440000,1165880
Colombia,7140,1228000,COL,13560,2169600,1356000,1065368
Comoros,780,134000,COM,1510,241600,151000,39589
"Congo, Dem. Rep.",410,71000,COD,740,118400,74000,14800
"Congo, Rep.",2540,437000,COG,5840,934400,584000,301113
Costa Rica,10400,1789000,CRI,15180,2428800,1518000,1261879
Côte d’Ivoire,1420,244000,CIV,NA,NA,NA,NA
Croatia,12700,2185000,HRV,NA,NA,NA,NA
Cyprus,25990,4471000,CYP,NA,NA,NA,NA
Czech Republic,18140,3121000,CZE,NA,NA,NA,NA
Denmark,58550,10073000,DNK,NA,NA,NA,NA
Dominica,6800,1170000,DMA,10240,1638400,1024000,699133
Dominican Republic,6240,1074000,DOM,13610,2177600,1361000,1071266
Ecuador,6030,1036999.9999999999,ECU,11250,1800000,1125000,805080
Egypt,3340,575000,EGY,NA,NA,NA,NA
El Salvador,3940,678000,SLV,8000,1280000,800000,482775
